name,gattung,epitheton,familie,familie_quelle,gruppe,ebene,pruefungsrelevant,in_vorlesungsliste,in_skript,in_beschreibungs_pdf,in_tsp_fuehrer,deutsch,heimisch,vorlesungseinheit,skript_seiten,namensbeleg,datenlage,master_namen,vorlesung_name,synonym_skript,ocr_varianten,name_pruefen,verdacht_ocr_fehler
Actinidia arguta,Actinidia,arguta,Actinidiaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Amur-Strahlengriffel (Bayernkiwi),,,130,nur_ocr,duenn,,,,,ja,nein
Actinidia deliciosa,Actinidia,deliciosa,Actinidiaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,130,nur_ocr,duenn,,,,,ja,nein
Actinidia kolomikta,Actinidia,kolomikta,Actinidiaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kolomikta-Strahlengriffel,,,130,nur_ocr,duenn,,,,,ja,nein
Cotinus coggygria,Cotinus,coggygria,Anacardiaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gemeiner Perückenstrauch,ja,36,113,quelle_sauber,vollstaendig,Cotinus coggygria,Cotinus Coggygria,,,nein,nein
Rhus glabra,Rhus,glabra,Anacardiaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Scharlach-Sumach =,,,113,nur_ocr,duenn,,,,,ja,nein
Rhus typhina,Rhus,typhina,Anacardiaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Hirschkolben Sumach,,37,113,quelle_sauber,vollstaendig,Rhus typhina,Rhus Typhina,,,nein,nein
Vinca major,Vinca,major,Apocynaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Großes Immergrün,,46,144,quelle_sauber,vollstaendig,Vinca major,Vinca Major,,,nein,nein
Vinca minor,Vinca,minor,Apocynaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Kleines Immergrün,ja,46,144,quelle_sauber,vollstaendig,Vinca minor,Vinca Minor,,,nein,nein
Ilex aquifolium,Ilex,aquifolium,Aquifoliaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gemeine Stechhülse,ja,39,119,quelle_sauber,vollstaendig,Ilex aquifolium,Ilex Aquifolium,,,nein,nein
Ilex verticillata,Ilex,verticillata,Aquifoliaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Rote Winterbeere | ) i) 5 =,,,120,nur_ocr,duenn,,,,,ja,nein
Hedera colchica,Hedera,colchica,Araliaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kolchischer Efeu,,,118,nur_ocr,duenn,,,,,ja,nein
Hedera helis,Hedera,helis,Araliaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Efeu,ja,39,,quelle_sauber,duenn,,Hedera Helis,,,nein,nein
Hedera helix,Hedera,helix,Araliaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,ja,ja,,,,118,quelle_sauber,teilweise,Hedera helix,,,,nein,nein
Araucaria araucana,Araucaria,araucana,Araucariaceae,skript,Nadelgehoelz,pruefung,ja,ja,ja,ja,ja,Chiletanne,,9,22,quelle_sauber,vollstaendig,Araucaria araucana,Araucaria Araucana,,,nein,nein
Trachycarpus fortunei,Trachycarpus,fortunei,Arecaceae,extern,Laubgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Trachycarpus fortunei,,,,nein,nein
Aristolochia macrophylla,Aristolochia,macrophylla,Aristolochiaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Amerikanische Pfeifenwinde,,11,28,quelle_sauber,teilweise,,Aristolohia Macrophylla,,,nein,nein
Berberis julianae,Berberis,julianae,Berberidaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Julians Berberitze,,12,,quelle_sauber,duenn,,Berberis Julianae,,,nein,nein
Berberis ottawensis,Berberis,ottawensis,Berberidaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Berberis X Ottawensis Superba,,12,,quelle_sauber,duenn,,Berberis X Ottawensis Superba,,,nein,nein
Berberis thunbergii,Berberis,thunbergii,Berberidaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Thunbergs Berberitze,,12,32,quelle_sauber,vollstaendig,Berberis thunbergii,Berberis Thunbergii,,,nein,nein
Berberis vulgaris,Berberis,vulgaris,Berberidaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Gewöhnliche Berberitze,ja,12,32,quelle_sauber,teilweise,,Berberis Vulgaris,,,nein,nein
Mahonia aquifolium,Mahonia,aquifolium,Berberidaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Gewöhnliche Mahonie,,12,,quelle_sauber,duenn,,Mahonia Aquifolium,,,nein,nein
Mahonia media,Mahonia,media,Berberidaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Mahonia X Media,,12,,quelle_sauber,duenn,,Mahonia X Media,,,nein,nein
Alnus cordata,Alnus,cordata,Betulaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Italienische Erle,,14,41,quelle_sauber,teilweise,,Alnus Cordata,,,nein,nein
Alnus glutinosa,Alnus,glutinosa,Betulaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Schwarz Erle,ja,14,40,quelle_sauber,vollstaendig,Alnus glutinosa,Alnus Glutinosa,,,nein,nein
Alnus incana,Alnus,incana,Betulaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,40,quelle_sauber,duenn,Alnus incana,,,,nein,nein
